ORIGINAL IS,ORIGINAL IV,MASKED filename,MASKED IS,MASKED IV,IMPUTED filename,IMPUTED IS,IMPUTED IV,Mask,Weekday
0.44,1.06,nparactformat_1001973_90001_0_0.cwa.RData.Saturday.18-20.MASKED.csv,0.44,1.07,nparactformat_1001973_90001_0_0.cwa.RData.Saturday.18-20.IMPUTED.csv,0.43,1.07,18-20,Saturday
0.44,1.06,nparactformat_1001973_90001_0_0.cwa.RData.Saturday.18-22.MASKED.csv,0.44,1.06,nparactformat_1001973_90001_0_0.cwa.RData.Saturday.18-22.IMPUTED.csv,0.44,1.06,18-22,Saturday
0.44,1.06,nparactformat_1001973_90001_0_0.cwa.RData.Saturday.22-10.MASKED.csv,0.4,1.07,nparactformat_1001973_90001_0_0.cwa.RData.Saturday.22-10.IMPUTED.csv,0.37,0.72,22-10,Saturday
0.44,1.06,nparactformat_1001973_90001_0_0.cwa.RData.Wednesday.10-12.MASKED.csv,0.42,1.07,nparactformat_1001973_90001_0_0.cwa.RData.Wednesday.10-12.IMPUTED.csv,0.43,1.06,10-12,Wednesday
0.44,1.06,nparactformat_1001973_90001_0_0.cwa.RData.Wednesday.10-14.MASKED.csv,0.41,1.07,nparactformat_1001973_90001_0_0.cwa.RData.Wednesday.10-14.IMPUTED.csv,0.44,1.06,10-14,Wednesday
0.44,1.06,nparactformat_1001973_90001_0_0.cwa.RData.Wednesday.10-16.MASKED.csv,0.4,1.07,nparactformat_1001973_90001_0_0.cwa.RData.Wednesday.10-16.IMPUTED.csv,0.43,1.06,10-16,Wednesday
0.44,1.06,nparactformat_1001973_90001_0_0.cwa.RData.Wednesday.10-34.MASKED.csv,0.36,1.07,nparactformat_1001973_90001_0_0.cwa.RData.Wednesday.10-34.IMPUTED.csv,0.37,1.06,10-34,Wednesday
0.44,1.06,nparactformat_1001973_90001_0_0.cwa.RData.Wednesday.12-14.MASKED.csv,0.43,1.07,nparactformat_1001973_90001_0_0.cwa.RData.Wednesday.12-14.IMPUTED.csv,0.44,1.06,12-14,Wednesday
0.44,1.06,nparactformat_1001973_90001_0_0.cwa.RData.Wednesday.14-16.MASKED.csv,0.43,1.08,nparactformat_1001973_90001_0_0.cwa.RData.Wednesday.14-16.IMPUTED.csv,0.44,1.05,14-16,Wednesday
0.44,1.06,nparactformat_1001973_90001_0_0.cwa.RData.Wednesday.14-18.MASKED.csv,0.41,1.06,nparactformat_1001973_90001_0_0.cwa.RData.Wednesday.14-18.IMPUTED.csv,0.44,1.05,14-18,Wednesday
0.44,1.06,nparactformat_1001973_90001_0_0.cwa.RData.Wednesday.16-18.MASKED.csv,0.42,1.06,nparactformat_1001973_90001_0_0.cwa.RData.Wednesday.16-18.IMPUTED.csv,0.43,1.06,16-18,Wednesday
0.44,1.06,nparactformat_1001973_90001_0_0.cwa.RData.Wednesday.16-22.MASKED.csv,0.42,1.06,nparactformat_1001973_90001_0_0.cwa.RData.Wednesday.16-22.IMPUTED.csv,0.43,1.06,16-22,Wednesday
0.44,1.06,nparactformat_1001973_90001_0_0.cwa.RData.Wednesday.18-20.MASKED.csv,0.43,1.06,nparactformat_1001973_90001_0_0.cwa.RData.Wednesday.18-20.IMPUTED.csv,0.44,1.06,18-20,Wednesday
